Anzsic,Anzsic_description,Period,Data_value,Variable,Units,Gas,Status
ZPZ,Primary industries,2014Q1,11316,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2014Q2,11178,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2014Q3,11126,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2014Q4,11118,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2015Q1,11064,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2015Q2,11088,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2015Q3,11061,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2015Q4,11033,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2016Q1,10941,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2016Q2,10874,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2016Q3,10888,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2016Q4,10888,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2017Q1,10815,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2017Q2,10841,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2017Q3,10981,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2017Q4,11019,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2018Q1,10881,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2018Q2,10917,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2018Q3,11091,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2018Q4,11035,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2019Q1,11213,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2019Q2,11174,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2019Q3,10893,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2019Q4,10987,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2020Q1,11075,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2020Q2,10910,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2020Q3,10945,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2020Q4,11014,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2021Q1,11036,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2021Q2,11083,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2021Q3,10909,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2021Q4,10987,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2022Q1,10886,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2022Q2,10856,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2014Q1,10900,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2014Q2,10776,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2014Q3,10736,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2014Q4,10734,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2015Q1,10668,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2015Q2,10649,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2015Q3,10625,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2015Q4,10611,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2016Q1,10536,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2016Q2,10506,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2016Q3,10499,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2016Q4,10523,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2017Q1,10455,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2017Q2,10476,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2017Q3,10621,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2017Q4,10631,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2018Q1,10509,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2018Q2,10548,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2018Q3,10753,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2018Q4,10706,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2019Q1,10865,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2019Q2,10809,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2019Q3,10541,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2019Q4,10635,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2020Q1,10742,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2020Q2,10627,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2020Q3,10653,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2020Q4,10708,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2021Q1,10723,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2021Q2,10749,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2021Q3,10639,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2021Q4,10670,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2022Q1,10579,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2022Q2,10541,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2014Q1,407,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2014Q2,398,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2014Q3,408,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2014Q4,380,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2015Q1,389,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2015Q2,427,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2015Q3,446,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2015Q4,424,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2016Q1,403,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2016Q2,363,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2016Q3,398,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2016Q4,363,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2017Q1,356,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2017Q2,360,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2017Q3,364,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2017Q4,394,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2018Q1,375,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2018Q2,360,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2018Q3,341,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2018Q4,332,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2019Q1,350,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2019Q2,351,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2019Q3,355,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2019Q4,356,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2020Q1,337,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2020Q2,272,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2020Q3,308,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2020Q4,306,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2021Q1,315,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2021Q2,311,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2021Q3,294,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2021Q4,317,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2022Q1,309,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2022Q2,292,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2014Q1,5070,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2014Q2,5416,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2014Q3,5452,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2014Q4,5661,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2015Q1,5642,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2015Q2,5221,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2015Q3,5212,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2015Q4,5151,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2016Q1,5113,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2016Q2,5075,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2016Q3,4969,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2016Q4,4554,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2017Q1,4833,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2017Q2,5225,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2017Q3,5113,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2017Q4,5275,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2018Q1,4938,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2018Q2,4988,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2018Q3,5074,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2018Q4,5376,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2019Q1,5540,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2019Q2,5310,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2019Q3,5282,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2019Q4,5350,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2020Q1,5051,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2020Q2,4954,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2020Q3,5423,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2020Q4,5188,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2021Q1,5326,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2021Q2,5924,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2021Q3,4482,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2021Q4,4514,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2022Q1,4787,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2022Q2,4915,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2014Q1,2858,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2014Q2,3044,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2014Q3,3136,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2014Q4,3186,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2015Q1,3112,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2015Q2,3078,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2015Q3,2968,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2015Q4,2862,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2016Q1,2947,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2016Q2,2939,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2016Q3,2999,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2016Q4,2615,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2017Q1,2943,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2017Q2,2859,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2017Q3,2755,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2017Q4,2814,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2018Q1,2657,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2018Q2,2772,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2018Q3,2962,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2018Q4,2800,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2019Q1,2955,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2019Q2,2901,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2019Q3,2899,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2019Q4,2934,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2020Q1,2664,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2020Q2,2612,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2020Q3,2638,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2020Q4,2668,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2021Q1,2652,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2021Q2,2647,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2021Q3,2392,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2021Q4,2540,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2022Q1,2601,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2022Q2,2407,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2014Q1,2029,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2014Q2,2168,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2014Q3,2075,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2014Q4,2162,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2015Q1,2328,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2015Q2,1941,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2015Q3,2027,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2015Q4,1993,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2016Q1,1956,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2016Q2,1905,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2016Q3,1741,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2016Q4,1575,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2017Q1,1593,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2017Q2,2053,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2017Q3,2111,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2017Q4,2000,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2018Q1,1933,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2018Q2,1782,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2018Q3,1836,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2018Q4,2066,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2019Q1,2216,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2019Q2,1967,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2019Q3,2176,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
