Anzsic,Anzsic_description,Period,Data_value,Variable,Units,Gas,Status
ZSZ,Service industries,2020Q4,1866,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2021Q1,1797,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2021Q2,1920,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2021Q3,1731,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2021Q4,1802,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2022Q1,1865,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2022Q2,1917,Actual,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2014Q1,1496,Actual,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2014Q2,1392,Actual,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2014Q3,1511,Actual,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2014Q4,1525,Actual,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2015Q1,1635,Actual,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2015Q2,1563,Actual,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2015Q3,1609,Actual,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2015Q4,1667,Actual,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2016Q1,1664,Actual,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2016Q2,1546,Actual,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2016Q3,1681,Actual,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2016Q4,1691,Actual,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2017Q1,1765,Actual,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2017Q2,1654,Actual,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2017Q3,1767,Actual,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2017Q4,1763,Actual,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2018Q1,1909,Actual,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2018Q2,1718,Actual,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2018Q3,1728,Actual,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2018Q4,1871,Actual,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2019Q1,1835,Actual,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2019Q2,1722,Actual,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2019Q3,1760,Actual,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2019Q4,1832,Actual,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2020Q1,1791,Actual,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2020Q2,880,Actual,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2020Q3,1048,Actual,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2020Q4,1184,Actual,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2021Q1,1175,Actual,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2021Q2,1239,Actual,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2021Q3,1049,Actual,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2021Q4,1148,Actual,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2022Q1,1196,Actual,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2022Q2,1209,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2014Q1,582,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2014Q2,631,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2014Q3,663,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2014Q4,623,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2015Q1,568,Actual,Kilotonnes,Carbon dioxide equivalents,P
