Species,Abund,SciName,Taxa1,Taxa2,Taxa3,BM,"Birthing (1=hider, 2=follower)",Group,Threat,Temp,Rain,D,Prey,PreyOffset,PreyEst,logD,logAb,logPrey,Deer,WRSU,BioregionNo,Bioregion,Site,Site#,State,Coywolf,Period,Years,Duration,Country,Method,N,PopDens,HR,CoyoteBM,Wolf,Puma,Carnivores,Latitude,Longitude,Study,NA
NA,NA,NA,NA,Lagomorphs,Mammals,2,NA,1,0,10,298,NA,0.295711061,296,0,NA,NA,0.112508166,Deer,Rural,10.1.6,Desert,Elk Ridge,581,Utah,0,Annual,1977-1979,3,USA,Scats,142,NA,NA,NA,0,1,6,40.01,-111.6768,Pederson and Tuckfield 1983,NA
"Deer, white-tailed",NA,Odocoileus virginianus,Deer,Ungulates,Mammals,55.5086,1,3,2,11,1097,NA,0.295774648,296,0,NA,NA,0.112529479,Deer,Rural,8.3.1,ETempForest,Huntington Wildlife Forest,665,New York,1,Summer,2009-2011,0.5,USA,Scats,100,NA,NA,NA,0,0,6,43.9718,-74.18481,Warsen 2012,NA
Carrion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.295774648,296,0,NA,NA,0.112529479,No deer,Rural,NA,NA,Statewide,430,Kansas,0,Annual,1948,1,USA,Stomachs,197,NA,NA,NA,0,0,6,38.5,-98.2,Gier 1968; Tiemeier 1955,NA
"Deer, white-tailed",NA,Odocoileus virginianus,Deer,Ungulates,Mammals,55.5086,1,3,2,4.5,1200,NA,0.296,296,0,NA,NA,0.112605002,No deer,Rural,5.3.1,NthForests,Steuben,13,New York,1,Summer,2008,0.5,USA,Scats,65,NA,NA,NA,0,0,9,42.277,-77.093,Boser 2009,NA
"Hare, showshoe",NA,Lepus americanus,Hares,Lagomorphs,Mammals,1.71,NA,1,0,5,1300,NA,0.29634381,296,0,NA,NA,0.112720198,No deer,Rural,5.1.4,NthForests,Newfoundland Island,301,Newfoundland,1,Winter,2008-2009,0.5,Canada,Stomachs,292,NA,NA,NA,0,0,3,48.65,-56,McGrath et al 2010,NA
NA,NA,NA,NA,Rodents,Mammals,0.2,NA,1,0,12,1057,NA,0.296416938,296,0,NA,NA,0.145015108,Deer,Rural,8.3.2,ETempForest,Adams & Pike counties,NA,Illinois,0,Winter,1979-1981,0.5,USA,Stomachs,171,NA,NA,NA,0,0,6,39.75,-91,Jones and Woolf 1983,NA
Cats,NA,Felis catus,Carnivora,Domestic,Mammals,5.5,NA,1,0,11,477,NA,0.29648638,296,0,NA,NA,0.112767959,Deer,Rural,13.1.1,TempSierras,Mazatzal Mountains - unburnt,378,Arizona,0,Annual,1999,1,USA,Scats,32,NA,NA,NA,0,1,6,33.708,-111.3648,Cunningham et al. 2006,NA
Elk,NA,Cervus elaphus,Deer,Ungulates,Mammals,131.25,1,3,2,3.5,588,NA,0.296511628,297,0,NA,NA,0.112776416,Deer,Rural,6.2.14,NWForMtn,Valles Caldera National Preserve,274,New Mexico,0,Fall,2007,0.25,USA,Scats,109,67,10.6,NA,0,1,NA,35.838,-106.472,Gifford et al. 2020,NA
"Hare, showshoe",0.197963801,Lepus americanus,Hares,Lagomorphs,Mammals,1.71,NA,1,0,-3.5,1675,0.262501855,0.297029703,297,4,0.101232025,0.078443695,0.112949922,No deer,Wilderness,6.1.2,NWForMtn,Central Alaska Range,87,Alaska,0,Annual,2001-2002,1,USA,Scats,499,2.4,NA,NA,1,0,6,63.95,-147.3,Prugh 2004; Prugh 2005; Prugh et al 2008,NA
Carrion,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.5,1675,NA,0.297029703,297,4,NA,NA,0.112949922,No deer,Wilderness,6.1.2,NWForMtn,Central Alaska Range,87,Alaska,0,Annual,2001-2002,1,USA,Scats,499,2.4,NA,NA,1,0,6,63.95,-147.3,Prugh 2004; Prugh 2005; Prugh et al 2008,NA
