cnt,uniqID,x,y,cur_b1,cur_b2,cur_b3,r45y50_b1,r45y50_b2,r45y50_b3,r85y50_b1,r85y50_b2,r85y50_b3,r45y70_b1,r45y70_b2,r45y70_b3,r85y70_b1,r85y70_b2,r85y70_b3
5089,Q600,22.12501061,-30.62493255,0.032385129,0.146829054,-0.092114978,-0.054478236,-0.218152642,0.032002199,-0.064740948,-0.220998749,0.004763367,-0.030588698,-0.223057702,-5.99E-05,-0.067044243,-0.207743779,-0.001863322
5090,Q601,22.37501061,-30.62493255,0.118441761,0.114776768,0.003943939,0.073009849,-0.213114217,0.010805962,0.069465995,-0.206892729,0.000716787,0.09025462,-0.210329041,-0.003950262,0.059518669,-0.210399106,-0.005671506
5091,Q602,22.62501061,-30.62493255,0.113777079,0.129306749,-0.04174637,0.061577886,-0.214217395,0.010982749,0.053685494,-0.222914115,-0.000345877,0.077073082,-0.226781204,-0.005295045,0.045373365,-0.217343137,-0.006455022
5092,Q603,22.87501061,-30.62493255,0.106319748,0.140906319,-0.078704804,0.066672526,-0.219111025,0.008474202,0.05570681,-0.227516994,-0.000929706,0.079382904,-0.230795681,-0.006031384,0.049130835,-0.222006574,-0.007070943
5093,Q604,23.12501061,-30.62493255,0.094586492,0.13718313,-0.069155999,0.047298472,-0.198552623,0.012530947,0.035966616,-0.197700739,1.96E-05,0.060602438,-0.212452725,-0.005175381,0.03070398,-0.194715008,-0.005838278
5094,Q605,23.37501061,-30.62493255,0.085576199,0.139196247,-0.077027597,0.025633443,-0.179953948,0.017940115,0.015736001,-0.178752393,0.001048777,0.041238602,-0.189384758,-0.003644225,0.010390915,-0.170532197,-0.004219485
5095,Q606,23.62501061,-30.62493255,0.1026593,0.116272688,-0.085820541,0.073238127,-0.159688458,0.010233541,0.065773241,-0.159964859,-0.000474114,0.08684814,-0.160020918,-0.003881018,0.061959155,-0.154655471,-0.005057755
5096,Q607,23.87501061,-30.62493255,0.095096774,0.126736164,-0.043564338,0.066579185,-0.148962244,0.012074223,0.057201087,-0.148668751,-0.000190155,0.077917621,-0.150346726,-0.003584833,0.051198393,-0.138039649,-0.004196995
5097,Q608,24.12501061,-30.62493255,0.118565142,0.116943225,-0.015851369,0.095814392,-0.18103756,-0.000814584,0.08383745,-0.188683823,-0.005122824,0.105683051,-0.184970379,-0.00830417,0.084272511,-0.167554766,-0.009026357
5098,Q609,24.37501061,-30.62493255,0.169920921,0.151656017,-0.122757025,0.146192566,-0.29034397,-0.024686323,0.132669136,-0.302406341,-0.012104006,0.164225131,-0.294175178,-0.017475316,0.136809409,-0.266484827,-0.016793892
5099,Q610,24.62501061,-30.62493255,0.160159111,0.174698442,-0.194134012,0.142940894,-0.331159174,-0.031049043,0.127516195,-0.344045877,-0.014604681,0.164015889,-0.324670255,-0.020064786,0.132735968,-0.296099335,-0.019245293
5100,Q611,24.87501061,-30.62493255,0.132473409,0.160415202,-0.153110117,0.101918533,-0.321133822,-0.025219303,0.090676412,-0.333716005,-0.014281872,0.124500275,-0.326633394,-0.020002583,0.101060882,-0.278203487,-0.018542159
5101,Q612,25.12501061,-30.62493255,0.157286465,-0.137772024,-0.256026328,0.110477768,-0.269010037,-0.024251251,0.102386661,-0.272189111,-0.014214516,0.127311766,-0.267700315,-0.018757798,0.110577546,-0.227857858,-0.017835286
5102,Q613,25.37501061,-30.62493255,0.128301859,-0.185125455,-0.115094222,0.085687362,-0.063625753,0.007302632,0.080854021,-0.063646771,-0.004045201,0.085008286,-0.072312802,-0.005273927,0.075273477,-0.042379931,-0.005184723
5103,Q614,25.62501061,-30.62493255,0.163560808,-0.229749277,0.016688745,0.08308477,-0.01577994,0.009868739,0.075166956,-0.024697829,-0.004211579,0.079457708,-0.034631781,-0.005325653,0.074665606,-0.005436718,-0.003861865
5104,Q615,25.87501061,-30.62493255,0.141145289,0.088264696,0.054993711,0.111804575,-0.074276015,0.002881835,0.107215889,-0.081548899,-0.004757637,0.110772394,-0.092080563,-0.0066926,0.110317796,-0.051575113,-0.005162654
5105,Q616,26.12501061,-30.62493255,0.145579875,0.108971789,-0.009407521,0.132824704,-0.083343059,-0.002444864,0.133056551,-0.09076038,-0.006752235,0.137463987,-0.093528725,-0.008452229,0.136599764,-0.057754137,-0.007415048
5106,Q617,26.37501061,-30.62493255,0.140226081,0.10555999,-0.002949258,0.131516874,-0.085958824,-0.00545687,0.132489949,-0.084989227,-0.007765911,0.135998145,-0.091962568,-0.009330972,0.13846755,-0.056007601,-0.008531769
5107,Q618,26.62501061,-30.62493255,0.145218804,0.090982325,0.037130482,0.147802755,-0.07541763,-0.008862873,0.150459141,-0.0768402,-0.008500797,0.151692063,-0.083292618,-0.009757167,0.157553092,-0.042990651,-0.008394841
5108,Q619,26.87501061,-30.62493255,0.17979081,0.08791551,0.04156296,0.188567713,-0.051237263,-0.012803743,0.19106549,-0.058674004,-0.009221361,0.191837966,-0.066270471,-0.010481689,0.196093485,-0.032245461,-0.008898593
5109,Q620,27.12501061,-30.62493255,0.178949103,0.084209062,0.049533155,0.192771271,-0.024355998,-0.011702718,0.195793942,-0.033394877,-0.009430179,0.191330507,-0.035143759,-0.009673099,0.199139968,-0.010872246,-0.008962543
5110,Q621,27.37501061,-30.62493255,0.199709415,0.074566633,0.076424599,0.21238935,0.005696766,-0.01214539,0.215310574,-0.00099307,-0.009079622,0.209399045,0.000525378,-0.008606363,0.217704013,0.009348738,-0.008614462
5111,Q622,27.62501061,-30.62493255,0.226224169,0.073598586,0.078116827,0.245604679,0.0248073,-0.017657794,0.250091851,0.021541413,-0.010185072,0.244621292,0.030269254,-0.008663053,0.249912694,0.021466194,-0.009613175
5112,Q623,27.87501061,-30.62493255,0.537427604,0.086844251,0.037717536,0.52319175,-0.021456201,-0.069566712,0.516292274,-0.033636637,-0.021111228,0.509112358,0.008236709,-0.01915862,0.490780145,-0.034891289,-0.018990444
5113,Q624,28.12501061,-30.62493255,0.559176385,0.08684361,0.036020994,0.63874054,-0.03707562,-0.090374038,0.649673402,-0.055037782,-0.025457935,0.633475184,-0.001732869,-0.023625992,0.636469603,-0.058400549,-0.023149215
5114,Q625,28.37501061,-30.62493255,0.244030476,0.068606205,0.087643437,0.278931439,0.037760738,-0.023257192,0.284796238,0.031586003,-0.010615658,0.274969429,0.046747014,-0.009051101,0.285655469,0.026635062,-0.009468264
5115,Q626,28.62501061,-30.62493255,0.199595883,0.067303367,0.08986634,0.200207159,0.07263846,-0.010183191,0.212255612,0.072099604,-0.009298139,0.196707189,0.082934834,-0.006294755,0.215590596,0.063323036,-0.008332361
5116,Q627,28.87501061,-30.62493255,0.176458031,0.063813649,0.098377302,0.172282472,0.082484856,-0.00263669,0.186238185,0.082223594,-0.006326216,0.168104783,0.094228983,-0.003678706,0.190717846,0.073737063,-0.005084957
5117,Q628,29.12501061,-30.62493255,0.208793521,0.064061686,0.096479505,0.217772275,0.067808852,-0.01605428,0.230143502,0.066529125,-0.011078938,0.214799494,0.081546053,-0.008071575,0.236599982,0.058280282,-0.010010052
5118,Q629,29.37501061,-30.62493255,0.163932219,0.062892109,0.097724453,0.181814238,0.074559614,-0.011095936,0.197407752,0.074508682,-0.010753105,0.179199666,0.084725022,-0.007627611,0.204058647,0.066811748,-0.009663624
5119,Q630,29.62501061,-30.62493255,0.209606066,0.059645969,0.074353836,0.254327029,0.063278608,-0.058248639,0.271677136,0.060045216,-0.024711784,0.252310216,0.08075276,-0.021298282,0.274180919,0.054306418,-0.021572934
5120,Q631,29.87501061,-30.62493255,0.070875861,0.049434502,0.083096832,0.119384043,0.104813442,-0.068650432,0.142476514,0.102554977,-0.030220749,0.118408665,0.117258623,-0.027025029,0.151265606,0.096197881,-0.024231235
5121,Q632,30.12501061,-30.62493255,-0.196193159,0.031519916,0.134136811,-0.018836498,0.137841582,-0.046363726,0.011072997,0.137554497,-0.027455868,-0.018658269,0.140016422,-0.024056118,0.030347759,0.129868701,-0.021728676
5122,Q633,30.37501061,-30.62493255,-0.159968808,0.033853754,0.146419078,0.019858919,0.134749785,-0.020839998,0.050587971,0.132958174,-0.020808417,0.019913839,0.139023662,-0.016067706,0.068823613,0.125420079,-0.017493801
4950,Q634,17.37501061,-30.37493255,0.089763246,0.089324124,0.037566729,0.117090814,0.070909478,0.074500605,0.151304394,0.071407758,0.027084639,0.128136113,0.083270602,0.028774161,0.169289142,0.056879785,0.02305562
4951,Q635,17.62501061,-30.37493255,0.030935712,0.091317348,0.104684293,0.106200293,0.067322455,0.074816562,0.136392787,0.06764929,0.026526183,0.115943894,0.073906973,0.027493864,0.152758822,0.048827752,0.022234952
4952,Q636,17.87501061,-30.37493255,0.062821291,0.091920815,0.100112483,0.171327934,0.040689319,0.055436455,0.192317292,0.038786728,0.020171644,0.178351864,0.046613391,0.020829238,0.206005692,0.019198248,0.015835524
4953,Q637,18.12501061,-30.37493255,0.167897075,0.096251011,0.083743095,0.224573866,0.027508439,0.065151855,0.244562104,0.022363704,0.023038993,0.229982764,0.035634726,0.023162708,0.255299062,9.56E-05,0.017644772
4954,Q638,18.37501061,-30.37493255,0.148477405,0.098962449,0.074999049,0.189977184,0.026545951,0.060553387,0.20698972,0.021254716,0.02158824,0.19666034,0.031229662,0.021462848,0.218930408,0.005357948,0.016995864
4955,Q639,18.62501061,-30.37493255,0.128285199,0.101545103,0.066837691,0.146306947,0.027939826,0.056263957,0.162212402,0.02483198,0.020441283,0.14975509,0.026124178,0.019800067,0.168891191,0.003791804,0.016141128
4956,Q640,18.87501061,-30.37493255,0.09613692,0.11517714,0.024198387,0.096619792,0.021082265,0.061775375,0.118084416,0.016899031,0.020915901,0.106313601,0.009722705,0.019642102,0.118058108,-0.011242773,0.016015783
4957,Q641,19.12501061,-30.37493255,0.07851781,0.110905915,0.035698876,0.043093286,0.001632068,0.065992773,0.062466651,0.002643076,0.021122346,0.060532827,-0.01323573,0.018902486,0.062793523,-0.030095641,0.015349429
4958,Q642,19.37501061,-30.37493255,0.09690512,0.107590489,0.044434797,0.054108154,-0.017454267,0.059659906,0.06655696,-0.014732588,0.019319024,0.06534481,-0.034685474,0.016623568,0.066881023,-0.051826805,0.013050178
4959,Q643,19.62501061,-30.37493255,0.075221352,0.113262065,0.025618307,0.021294927,-0.047114372,0.058878332,0.033254799,-0.044106439,0.018042745,0.035836577,-0.067263603,0.014717782,0.02883275,-0.085482359,0.010927603
4960,Q644,19.87501061,-30.37493255,0.060781233,0.109323516,0.035554085,0.012755034,-0.083990365,0.05380515,0.020771263,-0.091852337,0.015313655,0.029807527,-0.104580335,0.011749691,0.014200157,-0.121922657,0.008097477
4961,Q645,20.12501061,-30.37493255,0.0312564,0.116196975,0.013062775,-0.025483418,-0.134663239,0.051086217,-0.026689399,-0.146944106,0.013170719,-0.004153054,-0.156830236,0.008676877,-0.029510917,-0.171568677,0.004994385
